sku_id,candidato,wape_medio,bias_medio,mae_medio,tasa_fallback_backtest,sin_datos_suficientes
21380,ets_tsb,0.5040180040480333,-0.05478633664705558,97.22271939945996,0.0,False
21381,ets_tsb,1.3530337390429361,1.3530337390429361,117.5711312181474,0.0,False
21382,benchmark,0.8827621490229688,-0.8714387236868046,157.72264338770196,0.0,False
21383,benchmark,1.3905011420412479,0.23661557446752673,45.416666666666664,0.0,False
21385,ets_tsb,1.1290356761439693,1.1284112652455758,233.3885436060026,0.0,False
21386,benchmark,0.7923465423465423,-0.6555944055944056,68.5,0.0,False
21389,benchmark,0.8975387460773614,0.562674843023381,34.916666666666664,0.0,False
21390,ets_tsb,0.4172570917120092,-0.34194852772727546,142.21671935935848,0.0,False
21391,benchmark,1.1253266156123864,-0.052794080662480404,135.52380952380955,0.0,False
21394,benchmark,0.9208515354118195,-0.9208515354118195,556.54991723685,0.0,False
21395,benchmark,0.9046500235249894,-0.9046500235249894,420.38719251728685,0.0,False
21397,benchmark,0.7175625761326575,-0.21316816639815578,156.16666666666669,0.0,False
21399,benchmark,,,,0.0,True
21400,benchmark,0.6405462437141193,-0.6107054220223797,62.670447203688504,0.0,False
21401,ets_tsb,0.5457240876457056,-0.23349128988708995,54.65377557673534,0.0,False
21402,random_forest,0.8234187475163759,-0.2655154457210046,110.77278038628039,0.25,False
21403,benchmark,0.736651808580512,-0.6406728599449385,111.80214776697699,0.0,False
21407,ets_tsb,1.5854721135120997,0.8881706682505915,26.49780312849642,0.0,False
21408,ets_tsb,1.3712096294249436,1.2387795607567542,16.27912557790129,0.0,False
21411,ets_tsb,0.8002511895383353,-0.7239218795811097,41.19387490565882,0.0,False
21415,xgboost,1.4000169061275793,0.7613504317549497,10.143049619945826,0.25,False
21417,ets_tsb,0.5913598009520591,-0.355767243865694,14.66897828753783,0.0,False
21418,benchmark,0.8316993464052288,0.32516339869281047,3.8888888888888893,0.0,False
21420,benchmark,1.7,1.7,6.0,0.0,False
21421,benchmark,4.125877192982456,4.125877192982456,79.83333333333333,0.0,False
21422,ets_tsb,2.636944420112762,1.981578620812491,146.7820685650974,0.0,False
21424,ets_tsb,1.0127627881655863,0.7361948114182503,24.754271588247416,0.0,False
21425,benchmark,5.220580808080808,4.718199855699855,32.333333333333336,0.0,False
21426,ets_tsb,2.4355713654392135,2.3426183016446958,28.053315935419498,0.0,False
21427,benchmark,7.146880767811,7.146880767811,40.13333333333333,0.0,False
21428,benchmark,2.126225387565087,1.9325514284178607,190.91666666666669,0.0,False
21429,benchmark,1.3939123759752385,1.3939123759752385,231.44444444444443,0.0,False
21430,benchmark,0.7515383865475207,0.37138174905009425,163.91666666666666,0.0,False
21439,benchmark,0.7395939718595037,0.12757146028506913,100.58333333333334,0.0,False
21441,ets_tsb,0.43821690263205004,-0.008481334084580322,17.433331385089417,0.0,False
21442,ets_tsb,1.131390021631618,0.8853542450255565,25.527515790752922,0.0,False
21445,benchmark,,,,0.0,True
21446,ets_tsb,1.6702207052084537,1.3422243930765514,39.565936287044444,0.0,False
21447,ets_tsb,0.5935130998518104,0.4168584729109236,52.147059592149205,0.0,False
21448,benchmark,1.6128524258246324,1.386675932206278,31.833333333333332,0.0,False
21452,ets_tsb,0.5782414094851812,0.11402838630721628,29.152699257446663,0.0,False
21454,benchmark,0.7070877531340405,-0.7070877531340405,11.333333333333334,0.0,False
21455,benchmark,0.8150126922785481,-0.8055787300143972,25.66666666666667,0.0,False
21462,benchmark,0.9851958610495196,0.7259366017902602,13.722222222222221,0.0,False
21463,random_forest,0.7043628025575002,0.24779477243884077,26.123202314467935,0.25,False
21464,benchmark,0.7379004791868107,0.6218069805147575,10.708333333333334,0.0,False
21465,random_forest,0.6798684141977169,0.376724905013235,13.819607134763386,0.25,False
21466,ets_tsb,1.0848088151103263,1.0531183064164251,18.45581678789719,0.0,False
21467,ets_tsb,1.8074443339569117,1.5614153119700356,22.112334007033425,0.0,False
21468,random_forest,1.077737607899129,0.8654442102826891,12.186725333694083,0.42857142857142855,False
21469,benchmark,2.11420638442572,1.896885929844,63.041666666666664,0.0,False
21470,ets_tsb,0.916148032844424,0.8332959733919614,21.256224928972948,0.0,False
21471,ets_tsb,0.6372344950292278,0.342399665592074,26.331104064499346,0.0,False
21472,benchmark,,,,0.0,True
21473,benchmark,5.733186813186814,5.676043956043957,17.866666666666667,0.0,False
21476,benchmark,1.575757575757576,1.575757575757576,9.88888888888889,0.0,False
21479,benchmark,1.6833541927409261,1.6833541927409261,896.6666666666666,0.0,False
21481,random_forest,0.4983339170047069,0.171499964062806,132.3746319852023,0.25,False
21484,benchmark,0.8221281075843682,0.42556361775578067,121.33333333333333,0.0,False
21485,benchmark,0.7693364511358833,0.04290734003632496,186.83333333333334,0.0,False
21494,ets_tsb,0.5655326114237367,-0.49909078779978205,104.18914297101712,0.0,False
21495,ets_tsb,0.4894453011744958,0.023090425893136535,233.3119938177096,0.0,False
21497,benchmark,0.32357128603805607,0.0006109909679879733,262.5,0.0,False
21498,ets_tsb,0.34611655230246674,0.2377671499625396,303.6863961613137,0.0,False
21499,ets_tsb,0.26237554106869737,0.11390382279268914,137.23359460820933,0.0,False
21500,ets_tsb,0.4164515233527186,0.13465986426902962,213.1522498571175,0.0,False
